2026-07-23 12:14:57,430 - ABB | Year=2012 | Computed=36.32 | Source=46.0 | Difference=9.68
2026-07-23 12:14:57,430 - ABB | Year=2014 | Computed=40.10 | Source=46.0 | Difference=5.90
2026-07-23 12:14:57,431 - ABB | Year=2015 | Computed=38.42 | Source=46.0 | Difference=7.58
2026-07-23 12:14:57,431 - ABB | Year=2016 | Computed=34.73 | Source=46.0 | Difference=11.27
2026-07-23 12:14:57,431 - ABB | Year=2017 | Computed=32.80 | Source=46.0 | Difference=13.20
2026-07-23 12:14:57,431 - ABB | Year=2018 | Computed=37.92 | Source=46.0 | Difference=8.08
2026-07-23 12:14:57,431 - ABB | Year=2019 | Computed=35.76 | Source=46.0 | Difference=10.24
2026-07-23 12:14:57,434 - ABB | Year=2020 | Computed=33.42 | Source=46.0 | Difference=12.58
2026-07-23 12:14:57,434 - ABB | Year=2021 | Computed=36.41 | Source=46.0 | Difference=9.59
2026-07-23 12:14:57,434 - ABB | Year=2022 | Computed=39.20 | Source=46.0 | Difference=6.80
2026-07-23 12:14:57,434 - ADANIENSOL | Year=2014 | Computed=0.00 | Source=9.0 | Difference=9.00
2026-07-23 12:14:57,434 - ADANIENSOL | Year=2015 | Computed=0.96 | Source=9.0 | Difference=8.04
2026-07-23 12:14:57,436 - ADANIENSOL | Year=2016 | Computed=17.74 | Source=9.0 | Difference=8.74
2026-07-23 12:14:57,436 - ADANIENSOL | Year=2017 | Computed=16.82 | Source=9.0 | Difference=7.82
2026-07-23 12:14:57,436 - ADANIENSOL | Year=2018 | Computed=17.82 | Source=9.0 | Difference=8.82
2026-07-23 12:14:57,436 - ADANIENSOL | Year=2021 | Computed=14.06 | Source=9.0 | Difference=5.06
2026-07-23 12:14:57,436 - ADANIGREEN | Year=2017 | Computed=8.70 | Source=96.5 | Difference=87.80
2026-07-23 12:14:57,436 - ADANIGREEN | Year=2018 | Computed=7.90 | Source=96.5 | Difference=88.60
2026-07-23 12:14:57,436 - ADANIGREEN | Year=2019 | Computed=12.23 | Source=96.5 | Difference=84.27
2026-07-23 12:14:57,436 - ADANIGREEN | Year=2020 | Computed=7.77 | Source=96.5 | Difference=88.73
2026-07-23 12:14:57,438 - ADANIGREEN | Year=2021 | Computed=9.97 | Source=96.5 | Difference=86.53
2026-07-23 12:14:57,438 - ADANIGREEN | Year=2022 | Computed=7.25 | Source=96.5 | Difference=89.25
2026-07-23 12:14:57,438 - ADANIGREEN | Year=2023 | Computed=9.16 | Source=96.5 | Difference=87.34
2026-07-23 12:14:57,438 - ADANIGREEN | Year=2024 | Computed=11.49 | Source=96.5 | Difference=85.01
2026-07-23 12:14:57,438 - ADANIPORTS | Year=2018 | Computed=18.49 | Source=12.9 | Difference=5.59
2026-07-23 12:14:57,440 - ADANIPOWER | Year=2013 | Computed=2.55 | Source=32.2 | Difference=29.65
2026-07-23 12:14:57,440 - ADANIPOWER | Year=2014 | Computed=9.33 | Source=32.2 | Difference=22.87
2026-07-23 12:14:57,440 - ADANIPOWER | Year=2015 | Computed=11.62 | Source=32.2 | Difference=20.58
